True
Starting training...
python traineval.py --ek_version=ek100 --epochs=30 --batch_size=32
training dataset size: 24148
evaluation dataset size: 401
Epoch:0 (1/755) Data: 2.403317s | Batch: 3.003s | future_traj_r_loss: 0.509 | future_traj_l_loss: 0.284 | rec_r_loss: 1.330| rec_l_loss: 1.593| total_loss: 3.426 | future_valid_r: 32.0 | future_valid_l: 23.0 | obj_loss: 0.616 
Epoch:0 (2/755) Data: 0.000895s | Batch: 1.569s | future_traj_r_loss: 0.397 | future_traj_l_loss: 0.480 | rec_r_loss: 1.038| rec_l_loss: 1.083| total_loss: 2.695 | future_valid_r: 32.0 | future_valid_l: 22.0 | obj_loss: 0.117 
Epoch:0 (3/755) Data: 0.000711s | Batch: 1.075s | future_traj_r_loss: 0.273 | future_traj_l_loss: 0.225 | rec_r_loss: 0.991| rec_l_loss: 1.039| total_loss: 2.088 | future_valid_r: 32.0 | future_valid_l: 17.0 | obj_loss: 0.214 
Epoch:0 (4/755) Data: 0.000711s | Batch: 0.828s | future_traj_r_loss: 0.342 | future_traj_l_loss: 0.154 | rec_r_loss: 0.957| rec_l_loss: 1.051| total_loss: 2.064 | future_valid_r: 32.0 | future_valid_l: 17.0 | obj_loss: 0.131 
Epoch:0 (5/755) Data: 0.000675s | Batch: 0.679s | future_traj_r_loss: 0.269 | future_traj_l_loss: 0.304 | rec_r_loss: 0.908| rec_l_loss: 0.979| total_loss: 2.162 | future_valid_r: 32.0 | future_valid_l: 21.0 | obj_loss: 0.112 
Epoch:0 (6/755) Data: 0.000688s | Batch: 0.580s | future_traj_r_loss: 0.214 | future_traj_l_loss: 0.296 | rec_r_loss: 0.774| rec_l_loss: 0.838| total_loss: 1.847 | future_valid_r: 32.0 | future_valid_l: 20.0 | obj_loss: 0.129 
Epoch:0 (7/755) Data: 0.000690s | Batch: 0.509s | future_traj_r_loss: 0.239 | future_traj_l_loss: 0.360 | rec_r_loss: 0.712| rec_l_loss: 0.723| total_loss: 1.848 | future_valid_r: 32.0 | future_valid_l: 22.0 | obj_loss: 0.099 
Epoch:0 (8/755) Data: 0.000696s | Batch: 0.455s | future_traj_r_loss: 0.279 | future_traj_l_loss: 0.209 | rec_r_loss: 0.678| rec_l_loss: 0.764| total_loss: 1.681 | future_valid_r: 32.0 | future_valid_l: 20.0 | obj_loss: 0.085 
Epoch:0 (9/755) Data: 0.000701s | Batch: 0.415s | future_traj_r_loss: 0.284 | future_traj_l_loss: 0.254 | rec_r_loss: 0.591| rec_l_loss: 0.596| total_loss: 1.477 | future_valid_r: 32.0 | future_valid_l: 18.0 | obj_loss: 0.062 
Epoch:0 (10/755) Data: 0.001434s | Batch: 0.384s | future_traj_r_loss: 0.277 | future_traj_l_loss: 0.191 | rec_r_loss: 0.515| rec_l_loss: 0.505| total_loss: 1.257 | future_valid_r: 32.0 | future_valid_l: 16.0 | obj_loss: 0.096 
Epoch:0 (11/755) Data: 0.000730s | Batch: 0.356s | future_traj_r_loss: 0.268 | future_traj_l_loss: 0.308 | rec_r_loss: 0.510| rec_l_loss: 0.509| total_loss: 1.412 | future_valid_r: 32.0 | future_valid_l: 19.0 | obj_loss: 0.084 
