python traineval.py --ek_version=egtea --epochs=30 --batch_size=32 --num_classes=106 --seq_len_obs=10 --seq_len_unobs=3 --learnable_weight=True --use_gaze
training dataset size: 1880
evaluation dataset size: 69
Epoch:0 (1/59) Data: 3.678101s | Batch: 5.160s | future_traj_r_loss: 0.358 | future_traj_l_loss: 0.551 | rec_r_loss: 0.967| rec_l_loss: 0.973| total_loss: 2.341 | future_valid_r: 32.0 | future_valid_l: 16.0 | obj_loss: 0.514 
Epoch:0 (2/59) Data: 0.001154s | Batch: 2.645s | future_traj_r_loss: 0.225 | future_traj_l_loss: 0.136 | rec_r_loss: 0.831| rec_l_loss: 0.831| total_loss: 1.644 | future_valid_r: 32.0 | future_valid_l: 15.0 | obj_loss: 0.083 
Epoch:0 (3/59) Data: 0.000900s | Batch: 1.803s | future_traj_r_loss: 0.214 | future_traj_l_loss: 0.215 | rec_r_loss: 0.654| rec_l_loss: 0.639| total_loss: 1.377 | future_valid_r: 32.0 | future_valid_l: 14.0 | obj_loss: 0.198 
Epoch:0 (4/59) Data: 0.000854s | Batch: 1.380s | future_traj_r_loss: 0.091 | future_traj_l_loss: 0.201 | rec_r_loss: 0.518| rec_l_loss: 0.475| total_loss: 1.032 | future_valid_r: 32.0 | future_valid_l: 15.0 | obj_loss: 0.088 
Epoch:0 (5/59) Data: 0.000895s | Batch: 1.126s | future_traj_r_loss: 0.109 | future_traj_l_loss: 0.192 | rec_r_loss: 0.397| rec_l_loss: 0.403| total_loss: 0.712 | future_valid_r: 32.0 | future_valid_l: 7.0 | obj_loss: 0.134 
Epoch:0 (6/59) Data: 0.001000s | Batch: 0.957s | future_traj_r_loss: 0.115 | future_traj_l_loss: 0.164 | rec_r_loss: 0.289| rec_l_loss: 0.284| total_loss: 0.681 | future_valid_r: 32.0 | future_valid_l: 14.0 | obj_loss: 0.062 
Epoch:0 (7/59) Data: 0.000986s | Batch: 0.837s | future_traj_r_loss: 0.096 | future_traj_l_loss: 0.129 | rec_r_loss: 0.229| rec_l_loss: 0.241| total_loss: 0.603 | future_valid_r: 32.0 | future_valid_l: 17.0 | obj_loss: 0.060 
Epoch:0 (8/59) Data: 0.001053s | Batch: 0.747s | future_traj_r_loss: 0.182 | future_traj_l_loss: 0.182 | rec_r_loss: 0.254| rec_l_loss: 0.251| total_loss: 0.728 | future_valid_r: 32.0 | future_valid_l: 14.0 | obj_loss: 0.096 
Epoch:0 (9/59) Data: 0.001045s | Batch: 0.677s | future_traj_r_loss: 0.103 | future_traj_l_loss: 0.316 | rec_r_loss: 0.301| rec_l_loss: 0.384| total_loss: 0.726 | future_valid_r: 32.0 | future_valid_l: 11.0 | obj_loss: 0.065 
Epoch:0 (10/59) Data: 0.001005s | Batch: 0.622s | future_traj_r_loss: 0.147 | future_traj_l_loss: 0.260 | rec_r_loss: 0.257| rec_l_loss: 0.295| total_loss: 0.689 | future_valid_r: 32.0 | future_valid_l: 11.0 | obj_loss: 0.091 
Epoch:0 (11/59) Data: 0.000947s | Batch: 0.575s | future_traj_r_loss: 0.118 | future_traj_l_loss: 0.240 | rec_r_loss: 0.306| rec_l_loss: 0.279| total_loss: 0.738 | future_valid_r: 32.0 | future_valid_l: 14.0 | obj_loss: 0.085 
Epoch:0 (12/59) Data: 0.000912s | Batch: 0.537s | future_traj_r_loss: 0.074 | future_traj_l_loss: 0.221 | rec_r_loss: 0.206| rec_l_loss: 0.197| total_loss: 0.627 | future_valid_r: 32.0 | future_valid_l: 20.0 | obj_loss: 0.062 
Epoch:0 (13/59) Data: 0.001129s | Batch: 0.504s | future_traj_r_loss: 0.129 | future_traj_l_loss: 0.292 | rec_r_loss: 0.219| rec_l_loss: 0.190| total_loss: 0.597 | future_valid_r: 32.0 | future_valid_l: 11.0 | obj_loss: 0.123 
Epoch:0 (14/59) Data: 0.000968s | Batch: 0.477s | future_traj_r_loss: 0.103 | future_traj_l_loss: 0.223 | rec_r_loss: 0.187| rec_l_loss: 0.193| total_loss: 0.542 | future_valid_r: 32.0 | future_valid_l: 13.0 | obj_loss: 0.074 
Epoch:0 (15/59) Data: 0.000955s | Batch: 0.453s | future_traj_r_loss: 0.148 | future_traj_l_loss: 0.192 | rec_r_loss: 0.171| rec_l_loss: 0.169| total_loss: 0.590 | future_valid_r: 32.0 | future_valid_l: 16.0 | obj_loss: 0.061 
