dataset,variant,seed,epochs,wde,fde,sim,auc_j,nss
egtea,baseline,13,35,0.37378701083362104,0.1917555397376418,0.1483837,0.6610243316670211,0.37875354
egtea,v1,13,35,0.35757721080444754,0.18848448270000517,0.15291911,0.658867611997233,0.4125256
egtea,v2,13,35,0.3580071676522493,0.18913017939776183,0.15064052,0.6581034004895591,0.40537277
egtea,v3,13,35,0.3563316193409264,0.1842321814969182,0.15488951,0.6717898412395757,0.4405349
egtea,v4,13,35,0.3747188410721719,0.1973192386329174,0.13247561,0.6289742636336842,0.28904998
egtea,v5,13,35,0.3558261942584068,0.18787308200262487,0.14838482,0.6534996379388267,0.36697477
egtea,v6,13,35,0.3643353911116719,0.19194832132197917,0.16527514,0.6822859147507085,0.51827085
egtea,v7,13,35,0.35991016598418357,0.1885263873729855,0.16123813,0.6759864791453869,0.48432326
egtea,v8,13,35,0.35705834738910197,0.18737119985744358,0.15741318,0.6676685771853641,0.45418125
egtea,v9,13,35,0.3588371966965497,0.18822936243377625,0.15897872,0.6687114154629142,0.46506703
egtea,v10,13,35,0.36624470334500075,0.18848888063803315,0.1514033,0.6568134055002237,0.42477664
egtea,v11,13,35,0.36130485208705065,0.19057016684673728,0.16132706,0.6783433342369979,0.46568978
egtea,v12,13,35,0.36040041148662566,0.18966637863777577,0.16064025,0.6805448986459307,0.4889382
egtea,baseline,42,35,0.37492500748485325,0.20043851821683348,0.1624713,0.6888905432825108,0.47785985
egtea,v1,42,35,0.3472846636082977,0.18560821246355771,0.1797601,0.6973933059160806,0.6122392
egtea,v2,42,35,0.3502737964037806,0.1884322373662144,0.181767,0.6990015833238531,0.6306293
egtea,v3,42,35,0.3521104272454977,0.18762428793124855,0.1796805,0.6975752298928206,0.6477624
egtea,v4,42,35,0.3560156088322401,0.19129114649258555,0.1875225,0.7091536881733678,0.7354746
egtea,v5,42,35,0.34515240592882035,0.18457037303596735,0.18413858,0.7084218533942457,0.64896905
egtea,v6,42,35,0.3495382190681994,0.18530656513758004,0.17938161,0.7073828017605183,0.603965
egtea,v7,42,35,0.3475109889172018,0.18408571025356651,0.18209864,0.6996653595673983,0.62122536
egtea,v8,42,35,0.3488661672919989,0.1847391569055617,0.17843649,0.6996428939012511,0.5890588
egtea,v9,42,35,0.34955586604773997,0.1849019503686577,0.17747177,0.6994382394261682,0.5810324
egtea,v10,42,35,0.347232557926327,0.18601712477393448,0.18025005,0.7142464860701582,0.5982761
egtea,v11,42,35,0.3499744113534689,0.1852573397103697,0.18048677,0.699189922813919,0.6122169
egtea,v12,42,35,0.349151698872447,0.184128640498966,0.18338776,0.7029715258428864,0.6343652
egtea,baseline,256,35,0.39292480116710066,0.20743622933514416,0.14621061,0.6549162870502829,0.3623433
egtea,v1,256,35,0.35489693712443116,0.18744100604671984,0.2187602,0.7549641004712592,0.9341018
egtea,v2,256,35,0.3560204075649381,0.18851784016005696,0.2142868,0.7458071648460292,0.87888193
egtea,v3,256,35,0.3607015646062791,0.19399894271045923,0.16099,0.6882760043379299,0.47111386
egtea,v4,256,35,0.3528280715923756,0.18598444347735493,0.15338956,0.6595588191052987,0.43629625
egtea,v5,256,35,0.3540069606620818,0.18754206479061394,0.21211985,0.7441556673120934,0.88865525
egtea,v6,256,35,0.354653499647975,0.18802975509315728,0.21866389,0.749331839113464,0.942246
